timestamp,metric,value,outcome,details
20180622 154502,objective4,53,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective5,13,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective6,47,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective7,23,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective8,25,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,objective9,49,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding0,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding1,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding2,"18,085",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding3,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding4,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding5,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding6,"47,239",VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding7,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding8,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,shielding9,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak0,14,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak1,11,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak2,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak3,1,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak4,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak5,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak6,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak7,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak8,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 154502,streak9,,VICTORY,JAGUAR FALLS / SIEGE / 10:37 / ID 250785254
20180622 160110,credit0,"2,591",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit1,"3,221",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit2,"2,676",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit3,"3,259",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit4,"2,875",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit5,1615,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit6,1816,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit7,"1,384",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit8,1.633,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,credit9,"1,287",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage0,"37,042",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage1,"68,559",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage2,"22,707",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage3,"26,563",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage4,"21,538",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage5,"32,320",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage6,"49,015",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage7,"32,457",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage8,"39,633",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,damage9,"12,526",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
