timestamp,outcome,map,gametype,time,match_id,id,player_num,team,credit,damage,healing,kills,deaths,assists,name,objective,shielding,streak
2018-06-22T16:35:28Z,DEFEAT,FROZEN GUARD,SIEGE,1231,iD 250804174,4,5,red,"2,299",25960,NA,5,8,6,ZombyRock,A4,NA,NA
2018-06-22T16:35:28Z,DEFEAT,FROZEN GUARD,SIEGE,1231,iD 250804174,4,6,red,"3,197",43450,NA,6,7,14,¥ Wyrrii,256,"57,744",NA
2018-06-22T16:35:28Z,DEFEAT,FROZEN GUARD,SIEGE,1231,iD 250804174,4,7,red,"2,728",43054,NA,5,10,13,W RetlikNace,68,"24,568",NA
2018-06-22T16:35:28Z,DEFEAT,FROZEN GUARD,SIEGE,1231,iD 250804174,4,8,red,"3,401",68118,65507,10,9,16,Aceaus,85,NA,NA
2018-06-22T16:35:28Z,DEFEAT,FROZEN GUARD,SIEGE,1231,iD 250804174,4,9,red,"3,028",47076,NA,14,7,7,"W""Senshuon",16,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,0,blue,"3,966",26163,36329,1,10,16,meatbeat2,89,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,1,blue,"4,200",41123,NA,NA,9,NA,CinderandSmoke,125,"37,850",NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,2,blue,"4,615",76815,NA,14,9,14,rampje,70,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,3,blue,"3,770",45140,NA,6,3,20,Ivonile,NA,NA,15
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,4,blue,841,43586,NA,13,10,6,GHuddmk2,26,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,5,red,"4,151",16922,NA,2,7,3,DEATH2WISH,204,"71,920",NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,6,red,"3,636",26551,21746,3,12,8,W Bookwface,69,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,7,red,"4,171",54218,NA,10,8,8,Whitty,51,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,8,red,"4,249",36451,NA,10,6,4,EvilHoboXD,156,NA,NA
2018-06-22T18:10:30Z,DEFEAT,MAGISTRATE'S ARCHIVES (ONSLAUGHT},DEATHMATCH,10.01,ID 250830722,5,9,red,"4,864",88116,NA,16,7,11,NA,46,NA,10
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,0,blue,"4,246",51618,NA,6,12,13,MrMeSecks,108,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,1,blue,"4,244",41030,NA,9,14,5,¥ veitick,97,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,2,blue,"4,714",33235,NA,8,9,10,ceropuntoo,201,"19,293",NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,3,blue,"4,222",24272,22517,6,7,8,Donramonnn,148,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,4,blue,"4,937",75571,NA,16,10,8,rampje,88,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,5,red,"4,140",31798,NA,NA,NA,NA,th3rmyte,116,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,6,red,4.746,29722,NA,18,7,5,'W DiamondTrashy,154,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,7,red,"2,855",11781,17367,2,13,3,Pentatope,156,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,8,red,"4,481",47944,20285,9,7,15,Biskar,104,NA,NA
2018-06-22T18:27:56Z,DEFEAT,FOREMAN'S RISE,DEATHMATCH,10:33,ID 250834844,6,9,red,"4,779",61750,NA,15,7,9,aRandomBirda,83,NA,NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,0,blue,"1,877",38947,NA,4,1,4,RudyMaster2],NA,NA,NA
